Name:,Date:,Start Time:,End Time:,Temperature Range (ºF):,Time of Day:,Time Stamp:,Pecking (m),Pecking (f),Dabbling (m),Dabbling (f),Dipping (m),Dipping (f),Upending (m),Upending (f),Visitor Interaction (Y/N),Notes:
Peter Zhang,3/3/23,10:50 AM,11:51 AM,54-59,morning,0:00,0,0,0,0,1,0,0,0,N,"They were almost all asleep. Their heads were down and they weren't moving, only drifting along with the water. Only about 6 or 7 ducks were awake and moving. 42 males and 38 females"
Peter Zhang,3/3/23,10:50 AM,11:51 AM,54-59,morning,0:10,0,0,0,0,0,0,0,0,N,"More were awake, but most were still asleep. More males than female were awake, so I wonder if they naturally wake up earlier? 42 females and 50 males"
Peter Zhang,3/3/23,10:50 AM,11:51 AM,54-59,morning,0:20,0,0,0,0,0,0,0,0,N,"In between 11 and 11:10, most of the ducks moved out of that corner of the pond to sleep further away from shore. 21 males and 20 females"
Peter Zhang,3/3/23,10:50 AM,11:51 AM,54-59,morning,0:30,0,0,0,0,1,0,0,0,N,Many more male ducks were awake at this point. There was a group of around 5 ducks at the shore grooming themselves. 41 males and 21 females
Peter Zhang,3/3/23,10:50 AM,11:51 AM,54-59,morning,0:40,0,0,0,0,1,1,0,0,N,Some females joined the males at the shore. I wonder if this is a courting behavior? 44 males and 38 females
Peter Zhang,3/3/23,10:50 AM,11:51 AM,54-59,morning,0:50,0,0,0,0,0,1,1,0,N,32 males and 23 females
Peter Zhang,3/3/23,10:50 AM,11:51 AM,54-59,morning,1:00,0,0,0,1,1,0,0,0,N,32 males and 31 females
Kim Luong,3/4/23,9:18 AM,10:18 AM,58-64,morning,0:00,0,0,10,5,0,0,0,0,Y,Some shovelers were sleeping in the area where there was no visitor interaction.
Kim Luong,3/4/23,9:18 AM,10:18 AM,58-64,morning,0:10,0,0,5,1,0,0,0,0,Y,The group of shovelers that were counted were in a area where a group of people were feeding them bread at the beginning.
Kim Luong,3/4/23,9:18 AM,10:18 AM,58-64,morning,0:20,0,0,2,0,0,0,0,1,N,There were very few people around the lake.
Kim Luong,3/4/23,9:18 AM,10:18 AM,58-64,morning,0:30,0,0,1,1,1,1,2,4,N,
Kim Luong,3/4/23,9:18 AM,10:18 AM,58-64,morning,0:40,0,1,0,0,5,1,1,2,N,
Kim Luong,3/4/23,9:18 AM,10:18 AM,58-64,morning,0:50,0,0,0,0,2,5,0,0,N,
Kim Luong,3/4/23,9:18 AM,10:18 AM,58-64,morning,1:00,0,0,0,0,3,3,0,1,N,
Peter Zhang,3/4/23,1:00 PM,1:50 PM,70-72,afternoon,0:00,0,0,0,0,0,0,0,0,N,They were asleep. I moved to an area with more ducks after this scan. 1 female and 1 male
Peter Zhang,3/4/23,1:00 PM,1:50 PM,70-72,afternoon,0:10,0,0,0,0,6,3,1,0,Y,"Many were still asleep. Many were also awake, however. Someone was feeding the ducks. 27 male and 27 female"
Peter Zhang,3/4/23,1:00 PM,1:50 PM,70-72,afternoon,0:20,0,0,0,0,3,3,1,0,Y,"They were all feeding in areas where people were throwing bread in the water, so they were clearly getting human fed. 20 female and 32 male"
Peter Zhang,3/4/23,1:00 PM,1:50 PM,70-72,afternoon,0:30,0,0,0,0,6,7,0,0,Y,Still being fed. 33 females and 49 males
