Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
State,Alabama,01,<65,Dual Status,Medicare Only,Depression,0.2395,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Depression,0.1621,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Depression,0.2348,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Depression,0.2987,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Depression,0.2656,,,,
State,Alabama,01,65+,Sex,Female,Depression,0.2035,,,,
State,Alabama,01,<65,Sex,Female,Depression,0.352,,,,
State,Alabama,01,All,Sex,Female,Depression,0.2321,,,,
State,Alabama,01,65+,Sex,Male,Depression,0.106,,,,
State,Alabama,01,<65,Sex,Male,Depression,0.1851,,,,
State,Alabama,01,All,Sex,Male,Depression,0.125,,,,
State,Alabama,01,All,All,All,Diabetes,0.3017,16286.6289,14858.6123,0.2054,1021.1721
State,Alabama,01,65+,Dual Status,Medicare Only,Diabetes,0.292,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Diabetes,0.2611,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Diabetes,0.2876,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Diabetes,0.4092,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Diabetes,0.2974,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Diabetes,0.3552,,,,
State,Alabama,01,65+,Sex,Female,Diabetes,0.2902,,,,
State,Alabama,01,<65,Sex,Female,Diabetes,0.2968,,,,
State,Alabama,01,All,Sex,Female,Diabetes,0.2915,,,,
State,Alabama,01,65+,Sex,Male,Diabetes,0.3313,,,,
State,Alabama,01,<65,Sex,Male,Diabetes,0.2601,,,,
State,Alabama,01,All,Sex,Male,Diabetes,0.3142,,,,
State,Alabama,01,All,All,All,Drug/Substance Abuse,0.043,22482.4866,20827.1447,0.2541,2292.9655
State,Alabama,01,65+,Dual Status,Medicare Only,Drug/Substance Abuse,0.0191,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Drug/Substance Abuse,0.0892,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Drug/Substance Abuse,0.0291,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Drug/Substance Abuse,0.0474,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Drug/Substance Abuse,0.1469,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Drug/Substance Abuse,0.0954,,,,
State,Alabama,01,65+,Sex,Female,Drug/Substance Abuse,0.0226,,,,
State,Alabama,01,<65,Sex,Female,Drug/Substance Abuse,0.117,,,,
State,Alabama,01,All,Sex,Female,Drug/Substance Abuse,0.0408,,,,
State,Alabama,01,65+,Sex,Male,Drug/Substance Abuse,0.0234,,,,
State,Alabama,01,<65,Sex,Male,Drug/Substance Abuse,0.1158,,,,
State,Alabama,01,All,Sex,Male,Drug/Substance Abuse,0.0456,,,,
State,Alabama,01,All,All,All,HIV/AIDS,0.0033,18165.4491,17360.6865,0.2638,1500
State,Alabama,01,65+,Dual Status,Medicare Only,HIV/AIDS,0.0006,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,HIV/AIDS,0.0087,,,,
State,Alabama,01,All,Dual Status,Medicare Only,HIV/AIDS,0.0017,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,HIV/AIDS,0.0026,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,HIV/AIDS,0.0162,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,HIV/AIDS,0.0091,,,,
State,Alabama,01,65+,Sex,Female,HIV/AIDS,0.0005,,,,
State,Alabama,01,<65,Sex,Female,HIV/AIDS,0.0076,,,,
State,Alabama,01,All,Sex,Female,HIV/AIDS,0.0018,,,,
State,Alabama,01,65+,Sex,Male,HIV/AIDS,0.0013,,,,
State,Alabama,01,<65,Sex,Male,HIV/AIDS,0.0167,,,,
State,Alabama,01,All,Sex,Male,HIV/AIDS,0.005,,,,
State,Alabama,01,All,All,All,Heart Failure,0.1609,27576.5432,25290.6658,0.2346,1642.5684
State,Alabama,01,65+,Dual Status,Medicare Only,Heart Failure,0.1545,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Heart Failure,0.1034,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Heart Failure,0.1471,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Heart Failure,0.2879,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Heart Failure,0.1324,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Heart Failure,0.2128,,,,
State,Alabama,01,65+,Sex,Female,Heart Failure,0.1686,,,,
State,Alabama,01,<65,Sex,Female,Heart Failure,0.1175,,,,
State,Alabama,01,All,Sex,Female,Heart Failure,0.1587,,,,
State,Alabama,01,65+,Sex,Male,Heart Failure,0.1784,,,,
State,Alabama,01,<65,Sex,Male,Heart Failure,0.1166,,,,
State,Alabama,01,All,Sex,Male,Heart Failure,0.1635,,,,
State,Alabama,01,All,All,All,Hepatitis (Chronic Viral B & C),0.0061,27041.6939,25730.5169,0.2912,2088.5478
State,Alabama,01,65+,Dual Status,Medicare Only,Hepatitis (Chronic Viral B & C),0.0027,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Hepatitis (Chronic Viral B & C),0.0105,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Hepatitis (Chronic Viral B & C),0.0038,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Hepatitis (Chronic Viral B & C),0.0091,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Hepatitis (Chronic Viral B & C),0.0206,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Hepatitis (Chronic Viral B & C),0.0147,,,,
State,Alabama,01,65+,Sex,Female,Hepatitis (Chronic Viral B & C),0.0025,,,,
State,Alabama,01,<65,Sex,Female,Hepatitis (Chronic Viral B & C),0.0125,,,,
State,Alabama,01,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0044,,,,
State,Alabama,01,65+,Sex,Male,Hepatitis (Chronic Viral B & C),0.0049,,,,
State,Alabama,01,<65,Sex,Male,Hepatitis (Chronic Viral B & C),0.0179,,,,
State,Alabama,01,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.008,,,,
State,Alabama,01,All,All,All,Hyperlipidemia,0.5126,13967.3774,12773.1354,0.181,860.1103
State,Alabama,01,65+,Dual Status,Medicare Only,Hyperlipidemia,0.5635,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Hyperlipidemia,0.3342,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Hyperlipidemia,0.5306,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Hyperlipidemia,0.5303,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Hyperlipidemia,0.3527,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Hyperlipidemia,0.4445,,,,
State,Alabama,01,65+,Sex,Female,Hyperlipidemia,0.5577,,,,
State,Alabama,01,<65,Sex,Female,Hyperlipidemia,0.3668,,,,
State,Alabama,01,All,Sex,Female,Hyperlipidemia,0.5209,,,,
State,Alabama,01,65+,Sex,Male,Hyperlipidemia,0.5605,,,,
State,Alabama,01,<65,Sex,Male,Hyperlipidemia,0.3196,,,,
State,Alabama,01,All,Sex,Male,Hyperlipidemia,0.5025,,,,
State,Alabama,01,All,All,All,Hypertension,0.6553,14203.2333,12977.23,0.1808,918.2997
State,Alabama,01,65+,Dual Status,Medicare Only,Hypertension,0.6793,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Hypertension,0.4864,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Hypertension,0.6517,,,,
